2007.01.09 22:50 B C:\Download\AGCFAC\flash\pd0107.swf --> www.agcfac.org.hk /var/www/html/flash pd0107.swf
2007.02.28 10:37 B D:\AGCFAC website\flash\frontpage.swf <-- AGCFAC /var/www/html/flash frontpage.swf
2007.02.28 10:38 B D:\AGCFAC website\flash\frontpage2.swf <-- AGCFAC /var/www/html/flash frontpage2.swf
2007.02.28 10:38 B D:\AGCFAC website\flash\frontpage3.swf <-- AGCFAC /var/www/html/flash frontpage3.swf
2007.02.28 10:39 B D:\AGCFAC website\flash\frontpage4.swf <-- AGCFAC /var/www/html/flash frontpage4.swf
2007.02.28 10:39 B D:\AGCFAC website\flash\frontpage5.swf <-- AGCFAC /var/www/html/flash frontpage5.swf
2007.02.28 10:39 B D:\AGCFAC website\flash\pd0107.swf <-- AGCFAC /var/www/html/flash pd0107.swf
2007.05.16 15:13 B D:\AGCFAC website\flash\FM01_flash.flv --> ftp.agcfac.org.hk /var/www/html/flash FM01_flash.flv
2010.07.07 15:40 B C:\AGCFAC website\flash\FM01_flash.flv --> ftp.agcfac.org.hk /var/www/html/flash FM01_flash.flv
2010.07.07 15:40 B C:\AGCFAC website\flash\pd0107.fla --> ftp.agcfac.org.hk /var/www/html/flash pd0107.fla
2010.07.07 15:40 B C:\AGCFAC website\flash\pd0107.html --> ftp.agcfac.org.hk /var/www/html/flash pd0107.html
2010.07.07 15:40 B C:\AGCFAC website\flash\pd0107.swf --> ftp.agcfac.org.hk /var/www/html/flash pd0107.swf
2010.07.07 15:40 B C:\AGCFAC website\flash\WS_FTP.LOG --> ftp.agcfac.org.hk /var/www/html/flash WS_FTP.LOG
